Key,Year,Source,Subtype ID
Wa10_129,2010,Water,1
Wa10_141,2010,Water,2
Ab_12976,2005,Cattle,3
CCMB_1819,2017,Chicken,4
CHRB_3032,2009,Human,4
CHRB_3183,2009,Human,4
Wa08_4079,2008,Water,4
Wa11_1317,2011,Water,4
Wa08_1150,2008,Water,5
AMR_5257,2009,Cattle,6
Wa11_1074,2011,Water,7
CCMB_1793,2017,Chicken,8
CCMC_8655,2017,Chicken,9
Wa11_708,2011,Water,9
Wa11_199,2011,Water,10
Wa11_695,2011,Water,11
CHRB_172,2008,Human,12
Wa11_1391,2011,Water,12
CCMB_1587,2016,Chicken,13
CCMB_1589,2016,Chicken,13
CHRB_435,2008,Human,14
CHRB_1984,2008,Human,15
AMR_1481,2008,Cattle,16
CCMB_1630,2017,Chicken,17
CCMB_1631,2017,Chicken,18
CCMB_1591,2016,Chicken,19
CCMB_1783,2017,Chicken,19
CCMB_1586,2016,Chicken,20
CCMB_1874,2017,Chicken,20
CHRB_186,2008,Human,21
Wa11_1461,2011,Water,22
Cry_91,2009,Cattle,23
Wa08_4992,2009,Water,23
Wa11_1611,2011,Water,23
Ab_14599,2005,Cattle,24
Ab_15411,2005,Cattle,25
AMR_5319,2009,Cattle,26
Ab_14917,2005,Cattle,27
Ab_15408,2005,Cattle,27
Wa10_717,2010,Water,28
Wa11_1262,2011,Water,29
CHRB_340,2008,Human,30
CHRB_3477,2009,Human,31
CHRB_1481,2008,Human,32
CHRB_2243,2008,Human,33
CHRA_42,2007,Human,34
CCMA_2085,2017,Chicken,35
CHRB_2384,2008,Human,36
CHRB_1716,2008,Human,37
CCMA_1214,2016,Chicken,38
CCMB_1588,2016,Chicken,39
CHRB_1454,2008,Human,40
CHRB_1501,2008,Human,41
CHRB_1018,2008,Human,42
Ab_13205,2005,Cattle,43
Ab_13285,2005,Cattle,44
Ab_13244,2005,Cattle,45
Ab_13280,2005,Cattle,45
CCMA_2034,2017,Chicken,46
CCMA_847,2016,Chicken,47
AMR_2525,2009,Cattle,48
CCMB_1888,2017,Chicken,49
LH05_S1122,2005,Human,50
Ab_12787,2005,Cattle,51
Ab_13292,2005,Cattle,52
Ab_13298,2005,Cattle,53
LH13_MS2154,2013,Human,54
Ab_13658,2005,Cattle,55
Ab_15144,2005,Cattle,56
CHRB_1453,2008,Human,57
CHRB_2390,2008,Human,58
CHRB_2391,2008,Human,59
CHRB_981,2008,Human,60
CHRB_1621,2008,Human,61
Ab_14071,2005,Cattle,62
CHRB_1536,2008,Human,63
CHRB_2322,2008,Human,64
CHRB_1220,2008,Human,65
CHRB_2300,2008,Human,66
CHRB_2316,2008,Human,66
CHRB_2320,2008,Human,66
CHRB_2321,2008,Human,66
CHRB_2323,2008,Human,67
CHRB_1246,2008,Human,68
CHRB_2153,2008,Human,69
CCMB_1785,2017,Chicken,70
CCMC_3522,2017,Chicken,71
CCMB_1798,2017,Chicken,72
Ab_13659,2005,Cattle,73
Ab_13661,2005,Cattle,74
Ab_13608,2005,Cattle,75
Ab_13909,2005,Cattle,76
CCMC_8823,2017,Chicken,77
AMR_2964,2009,Cattle,78
AMR_2975,2009,Cattle,79
AMR_2948,2009,Cattle,80
CHRB_547,2008,Human,81
Wa08_3914,2008,Water,82
Wa08_4078,2008,Water,83
CHRA_261,2007,Human,84
Wa08_4098,2008,Water,85
CHRB_2487,2008,Human,86
Wa08_4230,2009,Water,87
LH07_MS1867,2007,Human,88
Wa08_3934,2008,Water,88
LH05_S1435,2005,Human,89
LH05_S1459,2005,Human,90
LH06_MS1896,2006,Human,91
LH13_MS3510,2013,Human,92
Wa08_5026,2009,Water,93
Wa11_1416,2011,Water,94
Wa11_1419,2011,Water,95
Wa11_1617,2011,Water,96
Wa08_3422,2008,Water,97
Wa08_3786,2008,Water,97
Wa10_1049,2010,Water,97
Wa10_1050,2010,Water,97
Wa10_1052,2010,Water,97
Wa10_1053,2010,Water,97
Wa10_1056,2010,Water,97
Wa10_1057,2010,Water,97
Wa10_1070,2010,Water,97
